[05-May-2015 13:49:55 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:51:05 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:51:08 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:51:09 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[05-May-2015 13:51:12 Europe/Berlin] PHP Strict Standards:  Non-static method Core\Config::offsetGet() should not be called statically, assuming $this from incompatible context in D:\xampp\www\xphp\Controller\Controller.class.php on line 19
[06-May-2015 02:37:35 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\www\xphp\Core\mytpl.class.php on line 5
[06-May-2015 02:38:30 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\www\xphp\Core\mytpl.class.php on line 5
[06-May-2015 02:38:31 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\www\xphp\Core\mytpl.class.php on line 5
[06-May-2015 02:38:31 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\www\xphp\Core\mytpl.class.php on line 5
[06-May-2015 02:38:31 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\www\xphp\Core\mytpl.class.php on line 5
[06-May-2015 02:38:32 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\www\xphp\Core\mytpl.class.php on line 5
[06-May-2015 02:38:32 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\www\xphp\Core\mytpl.class.php on line 5
[06-May-2015 02:40:31 Europe/Berlin] PHP Fatal error:  Class 'Lib\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:18 Europe/Berlin] PHP Fatal error:  Class 'Lib\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:18 Europe/Berlin] PHP Fatal error:  Class 'Lib\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:19 Europe/Berlin] PHP Fatal error:  Class 'Lib\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:19 Europe/Berlin] PHP Fatal error:  Class 'Lib\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:19 Europe/Berlin] PHP Fatal error:  Class 'Lib\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:31 Europe/Berlin] PHP Fatal error:  Class 'Core\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:31 Europe/Berlin] PHP Fatal error:  Class 'Core\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:32 Europe/Berlin] PHP Fatal error:  Class 'Core\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:32 Europe/Berlin] PHP Fatal error:  Class 'Core\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:41:32 Europe/Berlin] PHP Fatal error:  Class 'Core\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:43:43 Europe/Berlin] PHP Fatal error:  Class 'Lib\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:44:25 Europe/Berlin] PHP Fatal error:  Class 'Lib\template' not found in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
